trip_dayAndHour,trip_counts
02/29/2016 08,82
02/29/2016 09,62
02/29/2016 10,44
02/29/2016 11,45
02/29/2016 12,51
02/29/2016 13,44
02/29/2016 14,37
02/29/2016 15,48
02/29/2016 16,71
02/29/2016 17,97
02/29/2016 18,62
02/29/2016 19,53
02/29/2016 20,23
02/29/2016 21,29
02/29/2016 22,11
02/29/2016 23,9
03/01/2016 00,2
03/01/2016 01,2
03/01/2016 04,1
03/01/2016 05,4
03/01/2016 06,15
03/01/2016 07,44
03/01/2016 08,80
03/01/2016 09,70
03/01/2016 10,35
03/01/2016 11,39
03/01/2016 12,47
03/01/2016 13,40
03/01/2016 14,36
03/01/2016 15,48
03/01/2016 16,62
03/01/2016 17,89
03/01/2016 18,68
03/01/2016 19,58
03/01/2016 20,40
03/01/2016 21,24
03/01/2016 22,17
03/01/2016 23,8
03/02/2016 00,4
03/02/2016 01,2
03/02/2016 04,1
03/02/2016 05,1
03/02/2016 06,8
03/02/2016 07,14
03/02/2016 08,14
03/02/2016 09,34
03/02/2016 10,40
03/02/2016 11,26
03/02/2016 12,38
03/02/2016 13,34
03/02/2016 14,30
03/02/2016 15,42
03/02/2016 16,57
03/02/2016 17,74
03/02/2016 18,60
03/02/2016 19,37
03/02/2016 20,28
03/02/2016 21,20
03/02/2016 22,10
03/02/2016 23,6
03/03/2016 00,3
03/03/2016 02,1
03/03/2016 03,2
03/03/2016 04,3
03/03/2016 06,3
03/03/2016 07,14
03/03/2016 08,83
03/03/2016 09,61
03/03/2016 10,38
03/03/2016 11,39
03/03/2016 12,42
03/03/2016 13,36
03/03/2016 14,29
03/03/2016 15,45
03/03/2016 16,70
03/03/2016 17,81
03/03/2016 18,75
03/03/2016 19,50
03/03/2016 20,38
03/03/2016 21,21
03/03/2016 22,11
03/03/2016 23,9
03/04/2016 00,7
03/04/2016 01,2
03/04/2016 02,1
03/04/2016 04,1
03/04/2016 05,1
03/04/2016 06,9
03/04/2016 07,39
03/04/2016 08,75
03/04/2016 09,70
03/04/2016 10,38
03/04/2016 11,49
03/04/2016 12,29
03/04/2016 13,35
03/04/2016 14,24
03/04/2016 15,41
03/04/2016 16,68
03/04/2016 17,60
03/04/2016 18,34
03/04/2016 19,27
03/04/2016 20,14
03/04/2016 21,15
03/04/2016 22,7
03/04/2016 23,11
03/05/2016 00,11
03/05/2016 01,4
03/05/2016 02,4
03/05/2016 03,1
03/05/2016 04,1
03/05/2016 06,3
03/05/2016 07,6
03/05/2016 08,19
03/05/2016 09,26
03/05/2016 10,41
03/05/2016 11,54
03/05/2016 12,49
03/05/2016 13,43
03/05/2016 14,34
03/05/2016 15,53
03/05/2016 16,55
03/05/2016 17,50
03/05/2016 18,55
03/05/2016 19,49
03/05/2016 20,40
03/05/2016 21,14
03/05/2016 22,16
03/05/2016 23,22
03/06/2016 00,13
03/06/2016 01,10
03/06/2016 02,1
03/06/2016 05,1
03/06/2016 06,3
03/06/2016 07,6
03/06/2016 08,18
03/06/2016 09,27
03/06/2016 10,49
03/06/2016 11,43
03/06/2016 12,56
03/06/2016 13,66
03/06/2016 14,47
03/06/2016 15,56
03/06/2016 16,70
03/06/2016 17,48
03/06/2016 18,52
03/06/2016 19,23
03/06/2016 20,28
03/06/2016 21,11
03/06/2016 22,27
03/06/2016 23,7
03/07/2016 00,4
03/07/2016 01,7
03/07/2016 02,2
03/07/2016 04,1
03/07/2016 05,5
03/07/2016 06,14
03/07/2016 07,71
03/07/2016 08,113
03/07/2016 09,67
03/07/2016 10,53
03/07/2016 11,46
03/07/2016 12,58
03/07/2016 13,42
03/07/2016 14,46
03/07/2016 15,28
03/07/2016 16,85
03/07/2016 17,132
03/07/2016 18,91
03/07/2016 19,62
03/07/2016 20,51
03/07/2016 21,34
03/07/2016 22,14
03/07/2016 23,16
03/08/2016 00,3
03/08/2016 01,3
03/08/2016 03,1
03/08/2016 04,1
03/08/2016 05,3
03/08/2016 06,25
03/08/2016 07,81
03/08/2016 08,156
03/08/2016 09,101
03/08/2016 10,54
03/08/2016 11,61
03/08/2016 12,72
03/08/2016 13,61
03/08/2016 14,53
03/08/2016 15,71
03/08/2016 16,125
03/08/2016 17,170
03/08/2016 18,121
03/08/2016 19,73
03/08/2016 20,35
03/08/2016 21,33
03/08/2016 22,19
03/08/2016 23,14
03/09/2016 00,7
03/09/2016 01,3
03/09/2016 02,4
03/09/2016 03,1
03/09/2016 04,1
03/09/2016 05,6
03/09/2016 06,27
03/09/2016 07,124
03/09/2016 08,190
03/09/2016 09,108
03/09/2016 10,70
03/09/2016 11,83
03/09/2016 12,89
03/09/2016 13,103
03/09/2016 14,89
03/09/2016 15,132
03/09/2016 16,194
03/09/2016 17,258
03/09/2016 18,135
03/09/2016 19,85
03/09/2016 20,67
03/09/2016 21,38
03/09/2016 22,39
03/09/2016 23,21
03/10/2016 00,5
03/10/2016 01,8
03/10/2016 02,1
03/10/2016 03,1
03/10/2016 04,1
03/10/2016 05,4
03/10/2016 06,39
03/10/2016 07,111
03/10/2016 08,199
03/10/2016 09,108
03/10/2016 10,65
03/10/2016 11,35
03/10/2016 12,32
03/10/2016 13,27
03/10/2016 14,34
03/10/2016 15,40
03/10/2016 16,52
03/10/2016 17,96
03/10/2016 18,46
03/10/2016 19,23
03/10/2016 20,15
03/10/2016 21,26
03/10/2016 22,13
03/10/2016 23,6
03/11/2016 00,6
03/11/2016 01,1
03/11/2016 02,3
03/11/2016 05,2
03/11/2016 06,19
03/11/2016 07,70
03/11/2016 08,166
03/11/2016 09,100
03/11/2016 10,76
03/11/2016 11,65
03/11/2016 12,71
03/11/2016 13,83
03/11/2016 14,76
03/11/2016 15,96
03/11/2016 16,156
03/11/2016 17,212
03/11/2016 18,120
03/11/2016 19,74
03/11/2016 20,37
03/11/2016 21,21
03/11/2016 22,28
03/11/2016 23,17
03/12/2016 00,7
03/12/2016 01,5
03/12/2016 02,4
03/12/2016 04,3
03/12/2016 05,1
03/12/2016 06,3
03/12/2016 07,14
03/12/2016 08,28
03/12/2016 09,43
03/12/2016 10,76
03/12/2016 11,101
03/12/2016 12,184
03/12/2016 13,180
03/12/2016 14,204
03/12/2016 15,175
03/12/2016 16,202
03/12/2016 17,139
03/12/2016 18,82
03/12/2016 19,51
03/12/2016 20,40
03/12/2016 21,38
03/12/2016 22,23
03/12/2016 23,19
03/13/2016 00,24
03/13/2016 01,20
03/13/2016 03,13
03/13/2016 04,2
03/13/2016 05,3
03/13/2016 06,2
03/13/2016 07,1
03/13/2016 08,21
03/13/2016 09,27
03/13/2016 10,57
03/13/2016 11,96
03/13/2016 12,117
03/13/2016 13,171
03/13/2016 14,187
03/13/2016 15,160
03/13/2016 16,187
03/13/2016 17,158
03/13/2016 18,148
03/13/2016 19,84
03/13/2016 20,59
03/13/2016 21,31
03/13/2016 22,26
03/13/2016 23,19
03/14/2016 00,11
03/14/2016 01,2
03/14/2016 03,2
03/14/2016 04,1
03/14/2016 05,7
03/14/2016 06,31
03/14/2016 07,94
03/14/2016 08,168
03/14/2016 09,102
03/14/2016 10,51
03/14/2016 11,55
03/14/2016 12,44
03/14/2016 13,51
03/14/2016 14,20
03/14/2016 15,33
03/14/2016 16,72
03/14/2016 17,169
03/14/2016 18,95
03/14/2016 19,62
03/14/2016 20,24
03/14/2016 21,8
03/14/2016 22,14
03/14/2016 23,8
03/15/2016 00,8
03/15/2016 03,1
03/15/2016 04,1
03/15/2016 05,2
03/15/2016 06,7
03/15/2016 07,22
03/15/2016 08,31
03/15/2016 09,37
03/15/2016 10,12
03/15/2016 11,14
03/15/2016 12,11
03/15/2016 13,15
03/15/2016 14,11
03/15/2016 15,27
03/15/2016 16,43
03/15/2016 17,66
03/15/2016 18,46
03/15/2016 19,50
03/15/2016 20,41
03/15/2016 21,29
03/15/2016 22,19
03/15/2016 23,19
03/16/2016 00,5
03/16/2016 01,3
03/16/2016 02,3
03/16/2016 03,1
03/16/2016 04,3
03/16/2016 05,9
03/16/2016 06,23
03/16/2016 07,97
03/16/2016 08,212
03/16/2016 09,103
03/16/2016 10,70
03/16/2016 11,48
03/16/2016 12,62
03/16/2016 13,69
03/16/2016 14,82
03/16/2016 15,105
03/16/2016 16,135
03/16/2016 17,258
03/16/2016 18,190
03/16/2016 19,77
03/16/2016 20,60
03/16/2016 21,40
03/16/2016 22,25
03/16/2016 23,13
03/17/2016 00,7
03/17/2016 01,5
03/17/2016 02,1
03/17/2016 03,1
03/17/2016 04,1
03/17/2016 05,5
03/17/2016 06,26
03/17/2016 07,102
03/17/2016 08,199
03/17/2016 09,115
03/17/2016 10,92
03/17/2016 11,75
03/17/2016 12,106
03/17/2016 13,98
03/17/2016 14,101
03/17/2016 15,99
03/17/2016 16,144
03/17/2016 17,164
03/17/2016 18,126
03/17/2016 19,87
03/17/2016 20,55
03/17/2016 21,33
03/17/2016 22,26
03/17/2016 23,16
03/18/2016 00,11
03/18/2016 01,3
03/18/2016 02,4
03/18/2016 03,1
03/18/2016 04,1
03/18/2016 05,5
03/18/2016 06,33
03/18/2016 07,108
03/18/2016 08,219
03/18/2016 09,103
03/18/2016 10,99
03/18/2016 11,71
03/18/2016 12,94
03/18/2016 13,90
03/18/2016 14,111
03/18/2016 15,86
03/18/2016 16,107
03/18/2016 17,237
03/18/2016 18,105
03/18/2016 19,60
03/18/2016 20,37
03/18/2016 21,29
03/18/2016 22,20
03/18/2016 23,17
03/19/2016 00,4
03/19/2016 01,9
03/19/2016 02,5
03/19/2016 03,1
03/19/2016 04,2
03/19/2016 06,5
03/19/2016 07,5
03/19/2016 08,29
03/19/2016 09,33
03/19/2016 10,51
03/19/2016 11,88
03/19/2016 12,104
03/19/2016 13,114
03/19/2016 14,112
03/19/2016 15,131
03/19/2016 16,120
03/19/2016 17,107
03/19/2016 18,97
03/19/2016 19,56
03/19/2016 20,38
03/19/2016 21,21
03/19/2016 22,36
03/19/2016 23,21
03/20/2016 00,17
03/20/2016 01,10
03/20/2016 02,4
03/20/2016 03,3
03/20/2016 05,1
03/20/2016 07,3
03/20/2016 08,23
03/20/2016 09,33
03/20/2016 10,48
03/20/2016 11,51
03/20/2016 12,66
03/20/2016 13,79
03/20/2016 14,66
03/20/2016 15,63
03/20/2016 16,62
03/20/2016 17,56
03/20/2016 18,54
03/20/2016 19,39
03/20/2016 20,34
03/20/2016 21,22
03/20/2016 22,13
03/20/2016 23,5
03/21/2016 00,5
03/21/2016 01,1
03/21/2016 02,2
03/21/2016 03,1
03/21/2016 06,2
03/21/2016 07,13
03/21/2016 08,41
03/21/2016 09,27
03/21/2016 10,19
03/21/2016 11,27
03/21/2016 12,27
03/21/2016 13,44
03/21/2016 14,29
03/21/2016 15,69
03/21/2016 16,99
03/21/2016 17,187
03/21/2016 18,128
03/21/2016 19,78
03/21/2016 20,40
03/21/2016 21,37
03/21/2016 22,35
03/21/2016 23,8
03/22/2016 00,5
03/22/2016 01,2
03/22/2016 02,3
03/22/2016 03,1
03/22/2016 04,3
03/22/2016 05,7
03/22/2016 06,31
03/22/2016 07,119
03/22/2016 08,204
03/22/2016 09,89
03/22/2016 10,54
03/22/2016 11,59
03/22/2016 12,70
03/22/2016 13,70
03/22/2016 14,65
03/22/2016 15,96
03/22/2016 16,164
03/22/2016 17,266
03/22/2016 18,174
03/22/2016 19,76
03/22/2016 20,68
03/22/2016 21,51
03/22/2016 22,31
03/22/2016 23,17
03/23/2016 00,7
03/23/2016 01,3
03/23/2016 02,2
03/23/2016 03,2
03/23/2016 04,3
03/23/2016 05,7
03/23/2016 06,46
03/23/2016 07,147
03/23/2016 08,252
03/23/2016 09,133
03/23/2016 10,78
03/23/2016 11,82
03/23/2016 12,92
03/23/2016 13,99
03/23/2016 14,98
03/23/2016 15,145
03/23/2016 16,204
03/23/2016 17,269
03/23/2016 18,175
03/23/2016 19,113
03/23/2016 20,72
03/23/2016 21,48
03/23/2016 22,46
03/23/2016 23,31
03/24/2016 00,12
03/24/2016 01,9
03/24/2016 02,2
03/24/2016 03,1
03/24/2016 04,3
03/24/2016 05,5
03/24/2016 06,37
03/24/2016 07,160
03/24/2016 08,260
03/24/2016 09,128
03/24/2016 10,67
03/24/2016 11,70
03/24/2016 12,90
03/24/2016 13,76
03/24/2016 14,70
03/24/2016 15,83
03/24/2016 16,172
03/24/2016 17,197
03/24/2016 18,115
03/24/2016 19,62
03/24/2016 20,37
03/24/2016 21,37
03/24/2016 22,24
03/24/2016 23,15
03/25/2016 00,5
03/25/2016 01,4
03/25/2016 02,4
03/25/2016 04,6
03/25/2016 05,5
03/25/2016 06,16
03/25/2016 07,55
03/25/2016 08,122
03/25/2016 09,65
03/25/2016 10,23
03/25/2016 11,26
03/25/2016 12,30
03/25/2016 13,54
03/25/2016 14,68
03/25/2016 15,74
03/25/2016 16,131
03/25/2016 17,141
03/25/2016 18,124
03/25/2016 19,62
03/25/2016 20,50
03/25/2016 21,28
03/25/2016 22,25
03/25/2016 23,18
03/26/2016 00,18
03/26/2016 01,17
03/26/2016 02,11
03/26/2016 03,3
03/26/2016 04,3
03/26/2016 05,3
03/26/2016 06,7
03/26/2016 07,19
03/26/2016 08,20
03/26/2016 09,48
03/26/2016 10,89
03/26/2016 11,73
03/26/2016 12,131
03/26/2016 13,114
03/26/2016 14,123
03/26/2016 15,136
03/26/2016 16,122
03/26/2016 17,112
03/26/2016 18,95
03/26/2016 19,68
03/26/2016 20,37
03/26/2016 21,38
03/26/2016 22,38
03/26/2016 23,22
03/27/2016 00,10
03/27/2016 01,12
03/27/2016 02,9
03/27/2016 03,6
03/27/2016 04,1
03/27/2016 05,5
03/27/2016 06,3
03/27/2016 07,7
03/27/2016 08,17
03/27/2016 09,26
03/27/2016 10,52
03/27/2016 11,67
03/27/2016 12,94
03/27/2016 13,95
03/27/2016 14,108
03/27/2016 15,112
03/27/2016 16,105
03/27/2016 17,105
03/27/2016 18,108
03/27/2016 19,57
03/27/2016 20,36
03/27/2016 21,31
03/27/2016 22,29
03/27/2016 23,15
03/28/2016 00,10
03/28/2016 01,3
03/28/2016 02,2
03/28/2016 03,3
03/28/2016 04,1
03/28/2016 05,8
03/28/2016 06,50
03/28/2016 07,124
03/28/2016 08,101
03/28/2016 09,25
03/28/2016 10,15
03/28/2016 11,12
03/28/2016 12,23
03/28/2016 13,16
03/28/2016 14,19
03/28/2016 15,28
03/28/2016 16,80
03/28/2016 17,100
03/28/2016 18,118
03/28/2016 19,77
03/28/2016 20,73
03/28/2016 21,51
03/28/2016 22,26
03/28/2016 23,13
03/29/2016 00,10
03/29/2016 01,5
03/29/2016 02,2
03/29/2016 03,6
03/29/2016 04,5
03/29/2016 05,10
03/29/2016 06,49
03/29/2016 07,127
03/29/2016 08,277
03/29/2016 09,128
03/29/2016 10,80
03/29/2016 11,83
03/29/2016 12,84
03/29/2016 13,73
03/29/2016 14,75
03/29/2016 15,97
03/29/2016 16,182
03/29/2016 17,294
03/29/2016 18,211
03/29/2016 19,115
03/29/2016 20,71
03/29/2016 21,49
03/29/2016 22,26
03/29/2016 23,14
03/30/2016 00,6
03/30/2016 01,3
03/30/2016 02,5
03/30/2016 03,1
03/30/2016 04,6
03/30/2016 05,10
03/30/2016 06,49
03/30/2016 07,146
03/30/2016 08,293
03/30/2016 09,154
03/30/2016 10,96
03/30/2016 11,105
03/30/2016 12,107
03/30/2016 13,122
03/30/2016 14,101
03/30/2016 15,134
03/30/2016 16,224
03/30/2016 17,378
03/30/2016 18,243
03/30/2016 19,151
03/30/2016 20,93
03/30/2016 21,63
03/30/2016 22,36
03/30/2016 23,12
03/31/2016 00,9
03/31/2016 01,3
03/31/2016 02,1
03/31/2016 03,1
03/31/2016 04,4
03/31/2016 05,13
03/31/2016 06,48
03/31/2016 07,194
03/31/2016 08,333
03/31/2016 09,206
03/31/2016 10,95
03/31/2016 11,129
03/31/2016 12,146
03/31/2016 13,121
03/31/2016 14,128
03/31/2016 15,134
03/31/2016 16,247
03/31/2016 17,366
03/31/2016 18,234
03/31/2016 19,144
03/31/2016 20,123
03/31/2016 21,90
03/31/2016 22,59
03/31/2016 23,27
04/01/2016 00,15
04/01/2016 01,8
04/01/2016 02,8
04/01/2016 03,4
04/01/2016 04,5
04/01/2016 05,2
04/01/2016 06,48
04/01/2016 07,162
04/01/2016 08,338
04/01/2016 09,165
04/01/2016 10,137
04/01/2016 11,124
04/01/2016 12,144
04/01/2016 13,146
04/01/2016 14,118
04/01/2016 15,144
04/01/2016 16,299
04/01/2016 17,342
04/01/2016 18,279
04/01/2016 19,152
04/01/2016 20,73
04/01/2016 21,70
04/01/2016 22,63
04/01/2016 23,46
04/02/2016 00,37
04/02/2016 01,15
04/02/2016 02,20
04/02/2016 03,4
04/02/2016 04,7
04/02/2016 05,3
04/02/2016 06,6
04/02/2016 07,23
04/02/2016 08,56
04/02/2016 09,53
04/02/2016 10,23
04/02/2016 11,17
04/02/2016 12,31
04/02/2016 13,20
04/02/2016 14,30
04/02/2016 15,61
04/02/2016 16,93
04/02/2016 17,100
04/02/2016 18,100
04/02/2016 19,57
04/02/2016 20,42
04/02/2016 21,29
04/02/2016 22,42
04/02/2016 23,19
04/03/2016 00,19
04/03/2016 01,26
04/03/2016 02,21
04/03/2016 03,2
04/03/2016 04,1
04/03/2016 05,1
04/03/2016 06,2
04/03/2016 07,8
04/03/2016 08,8
04/03/2016 09,10
04/03/2016 10,25
04/03/2016 11,38
04/03/2016 12,53
04/03/2016 13,69
04/03/2016 14,64
04/03/2016 15,64
04/03/2016 16,55
04/03/2016 17,67
04/03/2016 18,57
04/03/2016 19,58
04/03/2016 20,26
04/03/2016 21,30
04/03/2016 22,14
04/03/2016 23,11
04/04/2016 00,6
04/04/2016 01,1
04/04/2016 02,1
04/04/2016 03,1
04/04/2016 05,6
04/04/2016 06,28
04/04/2016 07,54
04/04/2016 08,81
04/04/2016 09,33
04/04/2016 10,38
04/04/2016 11,18
04/04/2016 12,13
04/04/2016 13,17
04/04/2016 14,7
04/04/2016 15,9
04/04/2016 16,21
04/04/2016 17,40
04/04/2016 18,29
04/04/2016 19,11
04/04/2016 20,15
04/04/2016 21,9
04/04/2016 22,7
04/04/2016 23,5
04/05/2016 00,3
04/05/2016 01,2
04/05/2016 02,1
04/05/2016 03,1
04/05/2016 04,1
04/05/2016 05,3
04/05/2016 06,14
04/05/2016 07,39
04/05/2016 08,79
04/05/2016 09,69
04/05/2016 10,44
04/05/2016 11,58
04/05/2016 12,41
04/05/2016 13,62
04/05/2016 14,43
04/05/2016 15,63
04/05/2016 16,112
04/05/2016 17,191
04/05/2016 18,138
04/05/2016 19,98
04/05/2016 20,47
04/05/2016 21,35
04/05/2016 22,30
04/05/2016 23,15
04/06/2016 00,1
04/06/2016 01,4
04/06/2016 03,1
04/06/2016 04,2
04/06/2016 05,6
04/06/2016 06,40
04/06/2016 07,99
04/06/2016 08,208
04/06/2016 09,128
04/06/2016 10,78
04/06/2016 11,69
04/06/2016 12,88
04/06/2016 13,87
04/06/2016 14,60
04/06/2016 15,91
04/06/2016 16,157
04/06/2016 17,261
04/06/2016 18,160
04/06/2016 19,101
04/06/2016 20,90
04/06/2016 21,54
04/06/2016 22,42
04/06/2016 23,21
04/07/2016 00,10
04/07/2016 01,4
04/07/2016 02,3
04/07/2016 03,2
04/07/2016 04,5
04/07/2016 05,6
04/07/2016 06,41
04/07/2016 07,125
04/07/2016 08,278
04/07/2016 09,121
04/07/2016 10,91
04/07/2016 11,48
04/07/2016 12,24
04/07/2016 13,11
04/07/2016 14,14
04/07/2016 15,16
04/07/2016 16,30
04/07/2016 17,105
04/07/2016 18,36
04/07/2016 19,63
04/07/2016 20,72
04/07/2016 21,56
04/07/2016 22,50
04/07/2016 23,27
04/08/2016 00,11
04/08/2016 01,7
04/08/2016 02,3
04/08/2016 03,2
04/08/2016 04,4
04/08/2016 05,14
04/08/2016 06,52
04/08/2016 07,167
04/08/2016 08,317
04/08/2016 09,147
04/08/2016 10,105
04/08/2016 11,77
04/08/2016 12,71
04/08/2016 13,96
04/08/2016 14,98
04/08/2016 15,119
04/08/2016 16,219
04/08/2016 17,293
04/08/2016 18,181
04/08/2016 19,112
04/08/2016 20,64
04/08/2016 21,42
04/08/2016 22,25
04/08/2016 23,26
04/09/2016 00,18
04/09/2016 01,9
04/09/2016 02,10
04/09/2016 03,1
04/09/2016 04,1
04/09/2016 05,4
04/09/2016 06,16
04/09/2016 07,24
04/09/2016 08,57
04/09/2016 09,74
04/09/2016 10,118
04/09/2016 11,142
04/09/2016 12,151
04/09/2016 13,133
04/09/2016 14,174
04/09/2016 15,144
04/09/2016 16,111
04/09/2016 17,119
04/09/2016 18,97
04/09/2016 19,87
04/09/2016 20,54
04/09/2016 21,33
04/09/2016 22,45
04/09/2016 23,22
04/10/2016 00,21
04/10/2016 01,15
04/10/2016 02,13
04/10/2016 03,5
04/10/2016 05,1
04/10/2016 06,7
04/10/2016 07,16
04/10/2016 08,33
04/10/2016 09,62
04/10/2016 10,84
04/10/2016 11,99
04/10/2016 12,164
04/10/2016 13,158
04/10/2016 14,145
04/10/2016 15,164
04/10/2016 16,153
04/10/2016 17,160
04/10/2016 18,140
04/10/2016 19,86
04/10/2016 20,62
04/10/2016 21,54
04/10/2016 22,29
04/10/2016 23,15
04/11/2016 00,9
04/11/2016 01,6
04/11/2016 02,4
04/11/2016 03,2
04/11/2016 04,3
04/11/2016 05,10
04/11/2016 06,38
04/11/2016 07,79
04/11/2016 08,147
04/11/2016 09,60
04/11/2016 10,84
04/11/2016 11,95
04/11/2016 12,99
04/11/2016 13,88
04/11/2016 14,102
04/11/2016 15,116
04/11/2016 16,218
04/11/2016 17,369
04/11/2016 18,217
04/11/2016 19,176
04/11/2016 20,104
04/11/2016 21,72
04/11/2016 22,33
04/11/2016 23,20
04/12/2016 00,7
04/12/2016 01,3
04/12/2016 02,4
04/12/2016 03,1
04/12/2016 04,3
04/12/2016 05,14
04/12/2016 06,63
04/12/2016 07,206
04/12/2016 08,338
04/12/2016 09,157
04/12/2016 10,39
04/12/2016 11,29
04/12/2016 12,31
04/12/2016 13,33
04/12/2016 14,49
04/12/2016 15,78
04/12/2016 16,180
04/12/2016 17,362
04/12/2016 18,284
04/12/2016 19,175
04/12/2016 20,113
04/12/2016 21,68
04/12/2016 22,36
04/12/2016 23,27
04/13/2016 00,10
04/13/2016 01,4
04/13/2016 02,1
04/13/2016 03,2
04/13/2016 04,1
04/13/2016 05,19
04/13/2016 06,64
04/13/2016 07,206
04/13/2016 08,362
04/13/2016 09,219
04/13/2016 10,112
04/13/2016 11,114
04/13/2016 12,135
04/13/2016 13,151
04/13/2016 14,125
04/13/2016 15,149
04/13/2016 16,256
04/13/2016 17,394
04/13/2016 18,312
04/13/2016 19,193
04/13/2016 20,94
04/13/2016 21,76
04/13/2016 22,64
04/13/2016 23,23
04/14/2016 00,20
04/14/2016 01,7
04/14/2016 02,2
04/14/2016 03,2
04/14/2016 04,1
04/14/2016 05,13
04/14/2016 06,89
04/14/2016 07,195
04/14/2016 08,361
04/14/2016 09,214
04/14/2016 10,136
04/14/2016 11,121
04/14/2016 12,134
04/14/2016 13,129
04/14/2016 14,139
04/14/2016 15,180
04/14/2016 16,274
04/14/2016 17,415
04/14/2016 18,267
04/14/2016 19,182
04/14/2016 20,125
04/14/2016 21,64
04/14/2016 22,57
04/14/2016 23,24
04/15/2016 00,13
04/15/2016 01,12
04/15/2016 02,5
04/15/2016 04,3
04/15/2016 05,11
04/15/2016 06,82
04/15/2016 07,214
04/15/2016 08,376
04/15/2016 09,234
04/15/2016 10,141
04/15/2016 11,127
04/15/2016 12,160
04/15/2016 13,139
04/15/2016 14,176
04/15/2016 15,197
04/15/2016 16,353
04/15/2016 17,449
04/15/2016 18,298
04/15/2016 19,191
04/15/2016 20,89
04/15/2016 21,72
04/15/2016 22,76
04/15/2016 23,40
04/16/2016 00,45
04/16/2016 01,21
04/16/2016 02,7
04/16/2016 03,9
04/16/2016 04,6
04/16/2016 05,7
04/16/2016 06,14
04/16/2016 07,40
04/16/2016 08,78
04/16/2016 09,104
04/16/2016 10,174
04/16/2016 11,224
04/16/2016 12,251
04/16/2016 13,255
04/16/2016 14,263
04/16/2016 15,240
04/16/2016 16,254
04/16/2016 17,222
04/16/2016 18,193
04/16/2016 19,162
04/16/2016 20,84
04/16/2016 21,70
04/16/2016 22,58
04/16/2016 23,53
04/17/2016 00,25
04/17/2016 01,23
04/17/2016 02,17
04/17/2016 03,3
04/17/2016 04,1
04/17/2016 05,3
04/17/2016 06,12
04/17/2016 07,24
04/17/2016 08,55
04/17/2016 09,120
04/17/2016 10,233
04/17/2016 11,259
04/17/2016 12,384
04/17/2016 13,377
04/17/2016 14,399
04/17/2016 15,465
04/17/2016 16,386
04/17/2016 17,317
04/17/2016 18,294
04/17/2016 19,200
04/17/2016 20,122
04/17/2016 21,60
04/17/2016 22,67
04/17/2016 23,26
04/18/2016 00,32
04/18/2016 01,16
04/18/2016 02,6
04/18/2016 03,2
04/18/2016 04,9
04/18/2016 05,16
04/18/2016 06,73
04/18/2016 07,174
04/18/2016 08,286
04/18/2016 09,195
04/18/2016 10,219
04/18/2016 11,256
04/18/2016 12,234
04/18/2016 13,280
04/18/2016 14,274
04/18/2016 15,297
04/18/2016 16,297
04/18/2016 17,435
04/18/2016 18,267
04/18/2016 19,177
04/18/2016 20,111
04/18/2016 21,93
04/18/2016 22,39
04/18/2016 23,25
04/19/2016 00,24
04/19/2016 01,5
04/19/2016 02,11
04/19/2016 04,6
04/19/2016 05,10
04/19/2016 06,41
04/19/2016 07,161
04/19/2016 08,353
04/19/2016 09,229
04/19/2016 10,148
04/19/2016 11,131
04/19/2016 12,158
04/19/2016 13,148
04/19/2016 14,144
04/19/2016 15,162
04/19/2016 16,280
04/19/2016 17,473
04/19/2016 18,363
04/19/2016 19,204
04/19/2016 20,127
04/19/2016 21,97
04/19/2016 22,63
04/19/2016 23,25
04/20/2016 00,12
04/20/2016 01,7
04/20/2016 03,4
04/20/2016 04,2
04/20/2016 05,17
04/20/2016 06,95
04/20/2016 07,247
04/20/2016 08,426
04/20/2016 09,231
04/20/2016 10,135
04/20/2016 11,161
04/20/2016 12,180
04/20/2016 13,169
04/20/2016 14,158
04/20/2016 15,202
04/20/2016 16,362
04/20/2016 17,485
04/20/2016 18,400
04/20/2016 19,231
04/20/2016 20,124
04/20/2016 21,105
04/20/2016 22,65
04/20/2016 23,25
04/21/2016 00,6
04/21/2016 01,4
04/21/2016 02,2
04/21/2016 04,8
04/21/2016 05,17
04/21/2016 06,99
04/21/2016 07,274
04/21/2016 08,456
04/21/2016 09,252
04/21/2016 10,156
04/21/2016 11,200
04/21/2016 12,235
04/21/2016 13,198
04/21/2016 14,206
04/21/2016 15,242
04/21/2016 16,401
04/21/2016 17,596
04/21/2016 18,442
04/21/2016 19,308
04/21/2016 20,205
04/21/2016 21,162
04/21/2016 22,81
04/21/2016 23,44
04/22/2016 00,26
04/22/2016 01,8
04/22/2016 02,7
04/22/2016 03,5
04/22/2016 04,2
04/22/2016 05,12
04/22/2016 06,88
04/22/2016 07,261
04/22/2016 08,463
04/22/2016 09,262
04/22/2016 10,179
04/22/2016 11,186
04/22/2016 12,257
04/22/2016 13,202
04/22/2016 14,208
04/22/2016 15,279
04/22/2016 16,432
04/22/2016 17,489
04/22/2016 18,297
04/22/2016 19,92
04/22/2016 20,99
04/22/2016 21,82
04/22/2016 22,71
04/22/2016 23,91
04/23/2016 00,37
04/23/2016 01,15
04/23/2016 02,23
04/23/2016 03,8
04/23/2016 04,8
04/23/2016 05,6
04/23/2016 06,13
04/23/2016 07,24
04/23/2016 08,71
04/23/2016 09,110
04/23/2016 10,84
04/23/2016 11,100
04/23/2016 12,132
04/23/2016 13,208
04/23/2016 14,228
