trip_dayAndHour,trip_counts
01/14/2016 19,26
01/14/2016 20,14
01/14/2016 21,13
01/14/2016 22,10
01/14/2016 23,7
01/15/2016 00,7
01/15/2016 01,3
01/15/2016 02,1
01/15/2016 05,1
01/15/2016 06,8
01/15/2016 07,23
01/15/2016 08,49
01/15/2016 09,43
01/15/2016 10,26
01/15/2016 11,22
01/15/2016 12,26
01/15/2016 13,34
01/15/2016 14,22
01/15/2016 15,29
01/15/2016 16,52
01/15/2016 17,48
01/15/2016 18,42
01/15/2016 19,31
01/15/2016 20,26
01/15/2016 21,16
01/15/2016 22,6
01/15/2016 23,5
01/16/2016 00,8
01/16/2016 01,3
01/16/2016 02,3
01/16/2016 03,1
01/16/2016 06,2
01/16/2016 07,1
01/16/2016 08,3
01/16/2016 09,4
01/16/2016 10,4
01/16/2016 11,5
01/16/2016 12,13
01/16/2016 13,14
01/16/2016 14,24
01/16/2016 15,25
01/16/2016 16,31
01/16/2016 17,24
01/16/2016 18,24
01/16/2016 19,18
01/16/2016 20,20
01/16/2016 21,14
01/16/2016 22,9
01/16/2016 23,10
01/17/2016 00,7
01/17/2016 01,2
01/17/2016 02,4
01/17/2016 03,2
01/17/2016 05,2
01/17/2016 06,2
01/17/2016 08,4
01/17/2016 09,12
01/17/2016 10,21
01/17/2016 11,26
01/17/2016 12,17
01/17/2016 13,26
01/17/2016 14,30
01/17/2016 15,15
01/17/2016 16,35
01/17/2016 17,23
01/17/2016 18,20
01/17/2016 19,11
01/17/2016 20,1
01/17/2016 21,4
01/17/2016 22,5
01/18/2016 00,1
01/18/2016 01,3
01/18/2016 02,2
01/18/2016 03,1
01/18/2016 07,2
01/18/2016 08,4
01/18/2016 09,9
01/18/2016 10,11
01/18/2016 11,12
01/18/2016 12,10
01/18/2016 13,11
01/18/2016 14,6
01/18/2016 15,10
01/18/2016 16,23
01/18/2016 17,15
01/18/2016 18,22
01/18/2016 19,23
01/18/2016 20,14
01/18/2016 21,8
01/18/2016 22,11
01/18/2016 23,3
01/19/2016 00,1
01/19/2016 01,1
01/19/2016 03,1
01/19/2016 06,3
01/19/2016 07,23
01/19/2016 08,23
01/19/2016 09,31
01/19/2016 10,17
01/19/2016 11,11
01/19/2016 12,12
01/19/2016 13,10
01/19/2016 14,9
01/19/2016 15,12
01/19/2016 16,21
01/19/2016 17,31
01/19/2016 18,25
01/19/2016 19,15
01/19/2016 20,17
01/19/2016 21,12
01/19/2016 22,12
01/19/2016 23,5
01/20/2016 00,1
01/20/2016 04,1
01/20/2016 05,1
01/20/2016 06,8
01/20/2016 07,17
01/20/2016 08,44
01/20/2016 09,32
01/20/2016 10,19
01/20/2016 11,30
01/20/2016 12,29
01/20/2016 13,26
01/20/2016 14,18
01/20/2016 15,25
01/20/2016 16,36
01/20/2016 17,42
01/20/2016 18,25
01/20/2016 19,17
01/20/2016 20,21
01/20/2016 21,14
01/20/2016 22,5
01/20/2016 23,9
01/21/2016 00,4
01/21/2016 01,1
01/21/2016 02,1
01/21/2016 04,1
01/21/2016 05,1
01/21/2016 06,6
01/21/2016 07,20
01/21/2016 08,44
01/21/2016 09,42
01/21/2016 10,14
01/21/2016 11,18
01/21/2016 12,23
01/21/2016 13,23
01/21/2016 14,17
01/21/2016 15,17
01/21/2016 16,24
01/21/2016 17,46
01/21/2016 18,28
01/21/2016 19,33
01/21/2016 20,12
01/21/2016 21,17
